source,attack,seed,final_accuracy,best_accuracy,mean_f1,final_fpr,mean_runtime_sec,final_ledger_bytes
rerun_reputation_weighted,gaussian_noise,42,0.708,0.725,0.8335978835978836,0.0,0.9917034069697063,108756
rerun_reputation_weighted,gaussian_noise,43,0.671,0.68,0.7803174603174603,0.2857142857142857,1.1278706550598145,108340
rerun_reputation_weighted,gaussian_noise,44,0.715,0.724,0.8387301587301589,0.0,1.1746095021565754,108563
rerun_reputation_weighted,label_flip,42,0.323,0.355,0.1946031746031746,0.5,1.1381629228591919,110661
rerun_reputation_weighted,label_flip,43,0.424,0.432,0.05238095238095238,0.2857142857142857,1.1224110841751098,110332
rerun_reputation_weighted,label_flip,44,0.43,0.587,0.2812698412698413,0.375,1.010260518391927,111470
rerun_reputation_weighted,model_scaling,42,0.596,0.603,0.8184126984126985,0.25,1.1634599367777507,109466
rerun_reputation_weighted,model_scaling,43,0.509,0.613,0.7578571428571429,0.0,1.0010851224263508,108497
rerun_reputation_weighted,model_scaling,44,0.52,0.612,0.7791269841269842,0.0,1.0862188975016276,109448
rerun_reputation_weighted,sign_flip,42,0.266,0.287,0.20248677248677246,0.375,1.034420418739319,110943
rerun_reputation_weighted,sign_flip,43,0.306,0.388,0.17277777777777775,0.2857142857142857,1.0059314568837483,110581
rerun_reputation_weighted,sign_flip,44,0.462,0.539,0.33031746031746034,0.375,1.0149328311284382,109999
rerun_direction_filter,gaussian_noise,42,0.096,0.161,0.8326190476190477,0.0,2.2522842645645142,54311
rerun_direction_filter,gaussian_noise,43,0.092,0.177,0.8122222222222223,0.0,2.238175098101298,54292
rerun_direction_filter,gaussian_noise,44,0.079,0.158,0.8463492063492064,0.0,2.263951047261556,54180
rerun_direction_filter,label_flip,42,0.386,0.403,0.1545238095238095,0.25,1.270092765490214,55180
rerun_direction_filter,label_flip,43,0.495,0.495,0.16587301587301584,0.2857142857142857,1.2513280153274535,55105
rerun_direction_filter,label_flip,44,0.431,0.552,0.3451058201058201,0.125,1.238443930943807,55615
rerun_direction_filter,model_scaling,42,0.419,0.529,0.8275661375661376,0.125,2.240094717343648,54648
rerun_direction_filter,model_scaling,43,0.498,0.498,0.8237301587301588,0.1428571428571428,1.2422786076863608,54079
rerun_direction_filter,model_scaling,44,0.288,0.546,0.7807936507936509,0.125,1.2711989005406699,54662
rerun_direction_filter,sign_flip,42,0.366,0.375,0.2241534391534392,0.75,1.2429875294367472,55444
rerun_direction_filter,sign_flip,43,0.544,0.544,0.1965079365079365,0.2857142857142857,1.2259499788284303,55222
rerun_direction_filter,sign_flip,44,0.476,0.511,0.37198412698412703,0.125,1.2428929726282756,55223
